ZST_Nummer;Name;WGS84_lat;WGS84_lon;Herkunft (DAV, KT, ASTRA);pdf_link
Z076;Pfingstweidstrasse (Sportweg);47.3918607;8.504484849;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EUexODFLgGJIonPnbTFAKiABGFnc4N1Wfsiumowd_fn_dA?e=y9hjQR
Z079;A3W (A4 Uetlibergtunnel Brunau);47.34703197;8.520177551;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/ETwzUpA0MeVPgIDXD_lOz6UBtOVVUGERhpz9ad6h-uRY_w?e=KO28jd
Z080;A3W (Chur Brunau);47.34702986;8.520176449;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/Ec-0ckVBiitFmarA1jnl7tQBlIifDq5BMd941xLFAi19PQ?e=mJCsmb
Z081;Pfingstweidstrasse (Welti Furrer Ausfahrt);47.38788921;8.517689004;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/ETTTS5Isv-VEn7tvrHsROhMBpqsAPMjhX4JatZpNgp1SFQ?e=RTgujB
Z082;Hardbrücke (Hardstrasse);47.38317383;8.515141149;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EbHEEbdvoMZIkXKJvbZ7dfgBT5JBcYk9pWStoJ4A9b6CPA?e=ePlJeD
Z083;Hardbrücke Rampen (Hohlstrasse);47.38348416;8.515474015;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/ETGf96n_MKpEiqYoqh_2vhgBCrOXCWV6YrjEhiJqz7fkQQ?e=WpQEyV
Z092;Am Wasser (Hardeggstrasse);47.3972276;8.503019217;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EbfoGa8VOiBIlHk2AGhsUn0Bl7bmkzETN6N4gkAuEbM2FA?e=MgnG2m
Z093;Hardturmstrasse (Bernoullihäuser);47.39376746;8.508621943;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EZkg7L_ji4tPrj8BrvnrHmMBA_nk6CbZbbiyo1SzFvyDwg?e=stHs7P
Z098;Letzigraben (Hubertus);47.37830374;8.499360296;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EYD3A0Ht6K9BpMzxwGIaF8UBKm3ATmqcxv15jSFYswWiUw?e=9WywpX
Z099;Albisriederstrasse (Freilagerstrasse);47.37873102;8.494449099;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EUcm2qDW9aNDr3am6Gx2iiIBVKiFvL5I9hBN4LxNEyj1jg?e=aD9v5R
Z100;Rautistrasse (Luggwegstrasse);47.38190475;8.489486034;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EUFw1TnQ67lPqYmdQwn8W-wBvp8ikEJjbK-8SEU52fagkQ?e=zRsgQT
Z101;Altstetterstrasse (Algirstrasse);47.38271916;8.483893356;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EVh8TFfY0HRDrpSPRLALj3YB-tT7xctFHF2FT4XrXy9zjw?e=6qQ4mL
Z102;Badenerstrasse (Farbhof);47.39009945;8.480422074;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EYIGDmK9bnJMniXvG870C8cBkQUWy5iDwJdT7Q6pCyGmEw?e=5uUZ82
Z103;Hohlstrasse (Farbhof);47.39131237;8.48017822;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/Eavkb70egnFPq0vsIJeFNigByUdK0HWZxkD9VCgMdOmzTA?e=IOwRW6
Z104;Bändliweg (Bändlistrasse);47.39604429;8.485492714;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EUZLoSr0kT5Pu8eVU8gu54IBe9LcPYBEfSnSMbZxT8-g3g?e=S8iBh5
